,Link_Goodreads,Author,ISBN_gr,Link_2_Amazon,Title,Shelves_gr,N_pag,Rating_gr,Rating_Distr_gr,Num_Voti_gr,Num_Rev_gr,Pub_Date_gr,Link_Amazon,Title_az,Author_az,ISBN_az,N_Pages_az,Rating_az,Distr_Rating_az,Num_Voti_az,Num_Review_az,Pub_Date_az
2670,https://www.goodreads.com/book/show/40952816-uciekinier,Stephen King,9788378855101,no link,Uciekinier,"['Horror\n2 users', 'European Literature > Polish Literature\n2 users', 'Thriller\n2 users']",336,3.61,"['17%', '40%', '32%', '9%', '2%']",174,10,Published by Albatros,https://www.goodreads.com/book_link/follow/8069?book_id=40952816&source=compareprices,error,error,error,error,error,error,error,error,error
2671,https://www.goodreads.com/book/show/42418243-charlie,Stephen King,error,https://www.amazon.it/The-Charlie-Chaplin-Archives/dp/3836580721/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=charlie&qid=1636464060&s=books&sr=1-1#customerReviews,Charlie (Spécial suspense),[],436,4.05,"['24%', '57%', '19%', '0%', '0%']",37,error,Published April 28th 1992 by Albin Michel,https://www.goodreads.com/book_link/follow/8069?book_id=42418243&source=compareprices,The Charlie Chaplin Archives,Duncan Paul,978-3836580724,560,4.0,"['0%', '0%', '0%', '100%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",1.0,1.0,"
Editore
‏
:
‎

Taschen (14 luglio 2021)
"
2672,https://www.goodreads.com/book/show/37541447-for-owen,Stephen King,error,https://www.amazon.it/Rick-Owens/dp/084786622X/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=for-owen&qid=1636464076&s=books&sr=1-1#customerReviews,For Owen,['Short Stories\n2 users'],error,2.64,"['17%', '10%', '21%', '26%', '26%']",72,8,error,https://www.amazon.it/Rick-Owens/dp/084786622X/ref=sr_1_1?keywords=For+Owen&qid=1636596667&qsid=258-3450271-7585909&s=books&sr=1-1&sres=084786622X%2C8829929328%2C8828204702%2C8885772315%2CB08Y4F8V3W%2C8863950598%2C882992931X%2C8804675268%2C0701161264%2C1716493250%2C8833620018%2C8868364719%2C1982133279%2C0413778215%2C1405911891%2C8891580996#customerReviews,Rick Owens: Fashion,Rick Owens,978-0847866229,200,4.5,"['81%', '8%', '2%', '2%', '7%']",66.0,11.0,"
Editore
‏
:
‎

Rizzoli; 1° edizione (3 settembre 2019)
"
2673,https://www.goodreads.com/book/show/40023096-in-the-deathroom,Stephen King,error,https://www.amazon.it/Deathroom-Lunch-Gotham-Cafe/dp/1844560600/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=in-the-deathroom&qid=1636464091&s=books&sr=1-1#customerReviews,In The Deathroom,"['Horror\n4 users', 'Fiction\n2 users']",error,3.63,"['18%', '41%', '30%', '10%', '1%']",79,4,error,https://www.amazon.it/Deathroom-Lunch-Gotham-Cafe/dp/1844560600/ref=sr_1_1?keywords=In+The+Deathroom&qid=1636596682&qsid=258-3450271-7585909&s=books&sr=1-1&sres=1844560600#customerReviews,WITH Lunch at the Gotham Cafe,Stephen King,978-1844560608,2,5.0,"['100%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",1.0,1.0,"
Editore
‏
:
‎

Hodder & Stoughton Audio Books (31 dicembre 2005)
"
2674,https://www.goodreads.com/book/show/1597554.Dolores_Claiborne_Insomnia,Stephen King,9780451931467,no link,Dolores Claiborne/Insomnia,['Horror\n4 users'],error,4.25,"['51%', '29%', '15%', '3%', '2%']",364,6,error,https://www.goodreads.com/book_link/follow/8069?book_id=1597554&source=compareprices,Stephen King: The #1 New York Times Bestsellers! : Dolores Claiborne/Insomnia,error,error,error,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,error
2675,https://www.goodreads.com/book/show/12677.Carrie_Cujo_Night_shift,Stephen King,9780451912541,https://www.amazon.it/Green-Mile-Complete-Serial-Novel/dp/1501160443/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Carrie_Cujo_Night_shift&qid=1636464133&s=books&sr=1-1#customerReviews,Carrie / Cujo / Night shift,[],0,4.33,"['54%', '30%', '12%', '3%', '1%']",150,2,Published September 17th 1979 by signet (first published 1979),https://www.goodreads.com/book_link/follow/8069?book_id=12677&source=compareprices,The Green Mile: The Complete Serial Novel,Stephen King,978-1501160448,500,4.8,"['88%', '9%', '2%', '0%', '0%', '0%', '1%']",4145.0,1112.0,"
Editore
‏
:
‎

Pocket Books (27 giugno 2017)
"
2676,https://www.goodreads.com/book/show/11573.The_Dead_Zone,Stephen King,9780451155757,https://www.amazon.it/Dead-Zone-Stephen-King/dp/0451155750/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9780451155757&qid=1636464154&s=books&sr=1-1#customerReviews,The Dead Zone,"['Horror\n4,026 users', 'Fiction\n1,760 users', 'Thriller\n826 users', 'Fantasy\n341 users', 'Mystery\n274 users', 'Suspense\n245 users', 'Science Fiction\n221 users', 'Fantasy > Paranormal\n211 users', 'Fantasy > Supernatural\n182 users']",402,3.94,"['32%', '38%', '24%', '5%', '2%']",202986,4924,Published August 1980 by Signet/New American Library (first published August 30th 1979),https://www.goodreads.com/book_link/follow/8069?book_id=11573&source=compareprices,The Dead Zone,Stephen King,978-0451155757,416,4.6,"['73%', '18%', '6%', '2%', '1%']",2083.0,496.0,"
Editore
‏
:
‎

Penguin; Reissue edizione (1 agosto 1980)
"
2677,https://www.goodreads.com/book/show/52212508-the-blue-air-compressor,Stephen King,error,https://www.amazon.it/Geothermal-Power-Generation-Developments-Innovation/dp/0081003374/ref=sr_1_2?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=the-blue-air-compressor&qid=1636464185&s=books&sr=1-2#customerReviews,The Blue Air Compressor,[],8,2.5,"['3%', '12%', '28%', '44%', '12%']",32,5,Published January 1971 by Onan Magazine (1971); Heavy Metal (1981),https://www.amazon.it/Geothermal-Power-Generation-Developments-Innovation/dp/0081003374/ref=sr_1_2?keywords=The+Blue+Air+Compressor&qid=1636596712&qsid=258-3450271-7585909&s=books&sr=1-2&sres=1544235631%2C0081003374%2CB094NMJFTM%2C1650713266&srpt=AIR_COMPRESSOR#customerReviews,Geothermal Power Generation: Developments and Innovation,Ron DiPippo,978-0081003374,854,5.0,"['100%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",3.0,1.0,"
Editore
‏
:
‎

Woodhead Publishing; 1° edizione (8 giugno 2016)
"
2678,https://www.goodreads.com/book/show/11588.The_Shining,Stephen King,9780450040184,https://www.amazon.it/Shining-Stephen-King/dp/0450040186/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9780450040184&qid=1636464206&s=books&sr=1-1#customerReviews,The Shining,"['Horror\n16,765 users', 'Fiction\n6,367 users', 'Thriller\n2,296 users', 'Classics\n1,430 users', 'Fantasy\n894 users', 'Mystery\n858 users', 'Fantasy > Paranormal\n766 users', 'Suspense\n648 users', 'Adult\n566 users']",659,4.24,"['49%', '32%', '13%', '3%', '2%']",1246831,28937,Published July 1st 1980 by New English Library (Hodder & Stoughton) (first published January 28th 1977),https://www.goodreads.com/book_link/follow/8069?book_id=11588&source=compareprices,The Shining,Stephen King,978-0450040184,512,4.8,"['83%', '11%', '3%', '1%', '1%']",16207.0,4068.0,"
Editore
‏
:
‎

Hodder Paperback; New edizione (1 luglio 1982)
"
2679,https://www.goodreads.com/book/show/830502.It,Stephen King,9780450411434,https://www.amazon.it/Stephen-King/dp/0450411435/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9780450411434&qid=1636464226&s=books&sr=1-1#customerReviews,It,"['Horror\n14,291 users', 'Fiction\n4,765 users', 'Thriller\n1,497 users', 'Fantasy\n1,318 users', 'Mystery\n600 users', 'Audiobook\n597 users', 'Classics\n487 users', 'Adult\n480 users', 'Fantasy > Paranormal\n417 users']",1116,4.24,"['51%', '30%', '14%', '4%', '2%']",903014,28584,Published October 1st 1987 by New English Library (first published September 15th 1986),https://www.goodreads.com/book_link/follow/8069?book_id=830502&source=compareprices,It,Stephen King,error,error,4.7,"['81%', '11%', '4%', '1%', '2%']",17635.0,4870.0,error
2680,https://www.goodreads.com/book/show/10592.Carrie,Stephen King,9781416524304,https://www.amazon.it/Carrie-Stephen-King/dp/1416524304/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9781416524304&qid=1636464247&s=books&sr=1-1#customerReviews,Carrie,"['Horror\n11,415 users', 'Fiction\n3,659 users', 'Thriller\n1,147 users', 'Fantasy\n823 users', 'Fantasy > Paranormal\n798 users', 'Classics\n683 users', 'Fantasy > Supernatural\n431 users', 'Adult\n417 users', 'Novels\n317 users']",253,3.97,"['34%', '36%', '24%', '5%', '1%']",579676,16978,Published November 1st 2005 by Pocket Books (first published April 5th 1974),https://www.goodreads.com/book_link/follow/8069?book_id=10592&source=compareprices,Carrie,Stephen King,978-1416524304,253,4.6,"['76%', '16%', '6%', '1%', '1%']",4661.0,969.0,"
Editore
‏
:
‎

Pocket Books (Mm) (1 settembre 2005)
"
2681,https://www.goodreads.com/book/show/10614.Misery,Stephen King,9780450417399,https://www.amazon.it/Misery-Stephen-King/dp/B001PQUFW6/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9780450417399&qid=1636464268&s=books&sr=1-1#customerReviews,Misery,"['Horror\n9,086 users', 'Fiction\n3,421 users', 'Thriller\n1,961 users', 'Suspense\n499 users', 'Mystery\n488 users', 'Adult\n340 users', 'Novels\n332 users', 'Thriller > Mystery Thriller\n293 users', 'Mystery > Crime\n270 users']",370,4.18,"['44%', '35%', '16%', '3%', '1%']",567211,16199,Published November 1st 1988 by New English Library (first published June 8th 1987),https://www.goodreads.com/book_link/follow/8069?book_id=10614&source=compareprices,Misery,Stephen King,error,error,4.7,"['83%', '11%', '4%', '1%', '2%']",4460.0,857.0,error
2682,https://www.goodreads.com/book/show/33124137-pet-sematary,Stephen King,error,https://www.amazon.it/Sematary-Ediz-tie-Stephen-King/dp/8820067749/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=pet-sematary&qid=1636464283&s=books&sr=1-1#customerReviews,Pet Sematary,"['Horror\n10,878 users', 'Fiction\n3,068 users', 'Thriller\n931 users', 'Fantasy\n533 users', 'Audiobook\n423 users', 'Fantasy > Paranormal\n397 users', 'Adult\n346 users', 'Fantasy > Supernatural\n321 users', 'Mystery\n274 users']",580,4.02,"['37%', '36%', '21%', '5%', '1%']",473741,17022,Published May 13th 2014 by Scribner (first published November 14th 1983),https://www.amazon.it/Sematary-Ediz-tie-Stephen-King/dp/8820067749/ref=sr_1_1?keywords=Pet+Sematary&qid=1636596754&qsid=258-3450271-7585909&s=books&sr=1-1&sres=8820067749%2C1982112395%2C9021023229%2C1982136073%2C1984898760%2CB09FC892B7%2C3453435796%2C1982150742%2CB094LC6K43%2C8820071614%2C1444708147%2C8868360810%2C1501177222%2C1501143484%2C1444720716%2C8845295303&srpt=ABIS_BOOK#customerReviews,Pet Sematary. Ediz. tie-in,Stephen King,978-8820067748,425,4.6,"['73%', '17%', '6%', '3%', '2%']",410.0,186.0,"
Editore
‏
:
‎

Sperling & Kupfer (16 aprile 2019)
"
